Medal_type;Medal_code;Medal_date;Name;Gender;Discipline;Code_Discipline;Event;url_event;Country_code;Country
Silver Medal;2;08/10/2024;Jo-Ane van DYK;W;Athletics;ATH;Women's Javelin Throw;https://olympics.com/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--;RSA;South Africa
Bronze Medal;3;08/11/2024;Magomedkhan MAGOMEDOV;M;Wrestling;WRE;Men's Freestyle 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-97kg/repf000100--;AZE;Azerbaijan
Silver Medal;2;29/07/2024;France;M;Archery;ARC;Men's Team;https://olympics.com/en/paris-2024/results/archery/men-s-team/fnl-000100--;FRA;France
Bronze Medal;3;28/07/2024;Mexico;W;Archery;ARC;Women's Team;https://olympics.com/en/paris-2024/results/archery/women-s-team/fnl-000200--;MEX;Mexico
Bronze Medal;3;08/02/2024;United States;X;Archery;ARC;Mixed Team;https://olympics.com/en/paris-2024/results/archery/mixed-team/fnl-000200--;USA;United States
Silver Medal;2;08/09/2024;South Africa;M;Athletics;ATH;Men's 4 x 100m Relay;https://olympics.com/en/paris-2024/results/athletics/men-s-4-x-100m-relay/fnl-000100--;RSA;South Africa
Silver Medal;2;08/10/2024;Netherlands;W;Athletics;ATH;Women's 4 x 400m Relay;https://olympics.com/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--;NED;Netherlands
Silver Medal;2;08/07/2024;PINTADO B/MOREJON G;X;Athletics;ATH;Marathon Race Walk Relay Mixed;https://olympics.com/en/paris-2024/results/athletics/marathon-race-walk-relay-mixed/fnl-000100--;ECU;Ecuador
Gold Medal;1;08/07/2024;MARTIN A/PEREZ M;X;Athletics;ATH;Marathon Race Walk Relay Mixed;https://olympics.com/en/paris-2024/results/athletics/marathon-race-walk-relay-mixed/fnl-000100--;ESP;Spain
Gold Medal;1;08/03/2024;Netherlands;X;Athletics;ATH;4 x 400m Relay Mixed;https://olympics.com/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--;NED;Netherlands
Bronze Medal;3;08/02/2024;WATANABE/HIGASHINO;X;Badminton;BDM;Mixed Doubles;https://olympics.com/en/paris-2024/results/badminton/mixed-doubles/fnl-000200--;JPN;Japan
Bronze Medal;3;08/05/2024;Lithuania;M;3x3 Basketball;BK3;Men;https://olympics.com/en/paris-2024/results/3x3-basketball/men/fnl-000200--;LTU;Lithuania
Gold Medal;1;08/05/2024;Germany;W;3x3 Basketball;BK3;Women;https://olympics.com/en/paris-2024/results/3x3-basketball/women/fnl-000100--;GER;Germany
Gold Medal;1;08/10/2024;United States;M;Basketball;BKB;Men;https://olympics.com/en/paris-2024/results/basketball/men/fnl-000100--;USA;United States
Silver Medal;2;08/08/2024;Australia;M;Canoe Sprint;CSP;Men's Kayak Four 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-kayak-four-500m/fnl---------;AUS;Australia
Gold Medal;1;08/09/2024;CARRINGTON/HOSKIN;W;Canoe Sprint;CSP;Women's Kayak Double 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-kayak-double-500m/fnl---------;NZL;New Zealand
Silver Medal;2;08/10/2024;Italy;M;Cycling Track;CTR;Men's Madison;https://olympics.com/en/paris-2024/results/cycling-track/men-s-madison/fnl-000100--;ITA;Italy
Silver Medal;2;08/06/2024;Great Britain;M;Cycling Track;CTR;Men's Team Sprint;https://olympics.com/en/paris-2024/results/cycling-track/men-s-team-sprint/fnl---------;GBR;Great Britain
Silver Medal;2;08/05/2024;New Zealand;W;Cycling Track;CTR;Women's Team Sprint;https://olympics.com/en/paris-2024/results/cycling-track/women-s-team-sprint/fnl---------;NZL;New Zealand
Gold Medal;1;29/07/2024;China;M;Diving;DIV;Men's Synchronised 10m Platform;https://olympics.com/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--;CHN;China
Silver Medal;2;27/07/2024;United States;W;Diving;DIV;Women's Synchronised 3m Springboard;https://olympics.com/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--;USA;United States
Bronze Medal;3;08/03/2024;Great Britain;O;Equestrian;EQD;Dressage Team;https://olympics.com/en/paris-2024/results/equestrian/dressage-team/gpsp000100--;GBR;Great Britain
Silver Medal;2;08/09/2024;France;M;Football;FBL;Men;https://olympics.com/en/paris-2024/results/football/men/fnl-000100--;FRA;France
Bronze Medal;3;08/09/2024;Germany;W;Football;FBL;Women;https://olympics.com/en/paris-2024/results/football/women/fnl-000200--;GER;Germany
Silver Medal;2;08/01/2024;Italy;W;Fencing;FEN;Women's Foil Team;https://olympics.com/en/paris-2024/results/fencing/women-s-foil-team/fnl-000100--;ITA;Italy
Gold Medal;1;08/01/2024;United States;W;Fencing;FEN;Women's Foil Team;https://olympics.com/en/paris-2024/results/fencing/women-s-foil-team/fnl-000100--;USA;United States
Bronze Medal;3;08/03/2024;Japan;W;Fencing;FEN;Women's Sabre Team;https://olympics.com/en/paris-2024/results/fencing/women-s-sabre-team/fnl-000200--;JPN;Japan
Silver Medal;2;29/07/2024;China;M;Artistic Gymnastics;GAR;Men's Team;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--;CHN;China
Gold Medal;1;08/10/2024;People's Republic of China;W;Rhythmic Gymnastics;GRY;Group All-Around;;CHN;China
Silver Medal;2;08/10/2024;Israel;W;Rhythmic Gymnastics;GRY;Group All-Around;;ISR;Israel
Silver Medal;2;08/11/2024;Germany;M;Handball;HBL;Men;https://olympics.com/en/paris-2024/results/handball/men/fnl-000100--;GER;Germany
Gold Medal;1;08/10/2024;Norway;W;Handball;HBL;Women;https://olympics.com/en/paris-2024/results/handball/women/fnl-000100--;NOR;Norway
Bronze Medal;3;08/03/2024;Korea;X;Judo;JUD;Mixed Team;https://olympics.com/en/paris-2024/results/judo/mixed-team/repf00020000;KOR;Korea
Bronze Medal;3;08/03/2024;United States;M;Rowing;ROW;Men's Eight;https://olympics.com/en/paris-2024/results/rowing/men-s-eight/fnl---------;USA;United States
Silver Medal;2;08/01/2024;New Zealand;M;Rowing;ROW;Men's Four;https://olympics.com/en/paris-2024/results/rowing/men-s-four/fnl---------;NZL;New Zealand
Bronze Medal;3;08/02/2024;Greece;M;Rowing;ROW;Lightweight Men's Double Sculls;https://olympics.com/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------;GRE;Greece
Silver Medal;2;08/02/2024;Italy;M;Rowing;ROW;Lightweight Men's Double Sculls;https://olympics.com/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------;ITA;Italy
Silver Medal;2;08/01/2024;Netherlands;M;Rowing;ROW;Men's Double Sculls;https://olympics.com/en/paris-2024/results/rowing/men-s-double-sculls/fnl---------;NED;Netherlands
Silver Medal;2;08/02/2024;Romania;W;Rowing;ROW;Women's Pair;https://olympics.com/en/paris-2024/results/rowing/women-s-pair/fnl---------;ROU;Romania
Gold Medal;1;27/07/2024;France;M;Rugby Sevens;RU7;Men;https://olympics.com/en/paris-2024/results/rugby-sevens/men/fnl-000100--;FRA;France
Bronze Medal;3;30/07/2024;United States;W;Rugby Sevens;RU7;Women;https://olympics.com/en/paris-2024/results/rugby-sevens/women/fnl-000200--;USA;United States
Silver Medal;2;08/02/2024;BOBECK/NETZLER;W;Sailing;SAL;Women's Skiff;https://olympics.com/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--;SWE;Sweden
Bronze Medal;3;08/08/2024;DAHLBERG/KARLSSON;X;Sailing;SAL;Mixed Dinghy;https://olympics.com/en/paris-2024/results/sailing/mixed-dinghy/fnl-000100--;SWE;Sweden
Gold Medal;1;30/07/2024;Serbia;X;Shooting;SHO;10m Air Pistol Mixed Team;https://olympics.com/en/paris-2024/results/shooting/10m-air-pistol-mixed-team/fnl-000100--;SRB;Serbia
Gold Medal;1;27/07/2024;China 1;X;Shooting;SHO;10m Air Rifle Mixed Team;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--;CHN;China
Silver Medal;2;27/07/2024;Korea 1;X;Shooting;SHO;10m Air Rifle Mixed Team;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--;KOR;Korea
Gold Medal;1;08/07/2024;China;O;Artistic Swimming;SWA;Team;https://olympics.com/en/paris-2024/results/artistic-swimming/team/fnl-000100--;CHN;China
Silver Medal;2;08/07/2024;United States;O;Artistic Swimming;SWA;Team;https://olympics.com/en/paris-2024/results/artistic-swimming/team/fnl-000100--;USA;United States
Bronze Medal;3;27/07/2024;Italy;M;Swimming;SWM;Men's 4 x 100m Freestyle Relay;https://olympics.com/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--;ITA;Italy
Silver Medal;2;08/04/2024;United States;M;Swimming;SWM;Men's 4 x 100m Medley Relay;https://olympics.com/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--;USA;United States
Bronze Medal;3;30/07/2024;Australia;M;Swimming;SWM;Men's 4 x 200m Freestyle Relay;https://olympics.com/en/paris-2024/results/swimming/men-s-4-x-200m-freestyle-relay/fnl-000100--;AUS;Australia
Gold Medal;1;27/07/2024;Australia;W;Swimming;SWM;Women's 4 x 100m Freestyle Relay;https://olympics.com/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--;AUS;Australia
Silver Medal;2;08/04/2024;Australia;W;Swimming;SWM;Women's 4 x 100m Medley Relay;https://olympics.com/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--;AUS;Australia
Gold Medal;1;08/04/2024;United States;W;Swimming;SWM;Women's 4 x 100m Medley Relay;https://olympics.com/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--;USA;United States
Bronze Medal;3;08/09/2024;France;M;Table Tennis;TTE;Men's Team;https://olympics.com/en/paris-2024/results/table-tennis/men-s-team/fnl-00020000;FRA;France
Silver Medal;2;08/10/2024;Japan;W;Table Tennis;TTE;Women's Team;https://olympics.com/en/paris-2024/results/table-tennis/women-s-team/fnl-00010000;JPN;Japan
Silver Medal;2;08/11/2024;Croatia;M;Water Polo;WPO;Men;https://olympics.com/en/paris-2024/results/water-polo/men/fnl-000100--;CRO;Croatia
Gold Medal;1;08/11/2024;Serbia;M;Water Polo;WPO;Men;https://olympics.com/en/paris-2024/results/water-polo/men/fnl-000100--;SRB;Serbia
Gold Medal;1;08/10/2024;Spain;W;Water Polo;WPO;Women;https://olympics.com/en/paris-2024/results/water-polo/women/fnl-000100--;ESP;Spain
Silver Medal;2;08/05/2024;Tsige DUGUMA;W;Athletics;ATH;Women's 800m;https://olympics.com/en/paris-2024/results/athletics/women-s-800m/fnl-000100--;ETH;Ethiopia
Silver Medal;2;08/02/2024;Berihu AREGAWI;M;Athletics;ATH;Men's 10,000m;https://olympics.com/en/paris-2024/results/athletics/men-s-10-000m/fnl-000100--;ETH;Ethiopia
Silver Medal;2;08/08/2024;Zaid KAREEM;M;Taekwondo;TKW;Men -68kg;https://olympics.com/en/paris-2024/results/taekwondo/men--68kg/fnl-000100--;JOR;Jordan
Bronze Medal;3;08/04/2024;Daniel WIFFEN;M;Swimming;SWM;Men's 1500m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-1500m-freestyle/fnl-000100--;IRL;Ireland
Gold Medal;1;08/03/2024;Rhys MC CLENAGHAN;M;Artistic Gymnastics;GAR;Men's Pommel Horse;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--;IRL;Ireland
Gold Medal;1;31/07/2024;Cassandre BEAUGRAND;W;Triathlon;TRI;Women's Individual;https://olympics.com/en/paris-2024/results/triathlon/women-s-individual/fnl-000100--;FRA;France
Silver Medal;2;08/08/2024;Alireza MOHMADIPIANI;M;Wrestling;WRE;Men's Greco-Roman 87kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/fnl-000100--;IRI;IR Iran
Gold Medal;1;31/07/2024;Lasha BEKAURI;M;Judo;JUD;Men -90 kg;https://olympics.com/en/paris-2024/results/judo/men--90-kg/fnl-000100--;GEO;Georgia
Bronze Medal;3;30/07/2024;Laura FAZLIU;W;Judo;JUD;Women -63 kg;https://olympics.com/en/paris-2024/results/judo/women--63-kg/repf000200--;KOS;Kosovo
Bronze Medal;3;08/05/2024;Ana BARBOSU;W;Artistic Gymnastics;GAR;Women's Floor Exercise;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--;ROU;Romania
Bronze Medal;3;08/04/2024;Lasha GURULI;M;Boxing;BOX;Men's 63.5kg;https://olympics.com/en/paris-2024/results/boxing/men-s-63-5kg/sfnl000200--;GEO;Georgia
Silver Medal;2;08/10/2024;Akbar DJURAEV;M;Weightlifting;WLF;Men's 102kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--;UZB;Uzbekistan
Bronze Medal;3;28/07/2024;Paolo MONNA;M;Shooting;SHO;10m Air Pistol Men;https://olympics.com/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--;ITA;Italy
Gold Medal;1;08/10/2024;Lasha TALAKHADZE;M;Weightlifting;WLF;Men's +102kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--;GEO;Georgia
Bronze Medal;3;08/06/2024;Mattia FURLANI;M;Athletics;ATH;Men's Long Jump;https://olympics.com/en/paris-2024/results/athletics/men-s-long-jump/fnl-000100--;ITA;Italy
Gold Medal;1;08/06/2024;Kellie HARRINGTON;W;Boxing;BOX;Women's 60kg;https://olympics.com/en/paris-2024/results/boxing/women-s-60kg/fnl-000100--;IRL;Ireland
Bronze Medal;3;08/08/2024;Javier IBANEZ DIAZ;M;Boxing;BOX;Men's 57kg;https://olympics.com/en/paris-2024/results/boxing/men-s-57kg/sfnl000200--;BUL;Bulgaria
Gold Medal;1;08/07/2024;Soufiane EL BAKKALI;M;Athletics;ATH;Men's 3000m Steeplechase;https://olympics.com/en/paris-2024/results/athletics/men-s-3000m-steeplechase/fnl-000100--;MAR;Morocco
Gold Medal;1;08/07/2024;Erislandy ALVAREZ BORGES;M;Boxing;BOX;Men's 63.5kg;https://olympics.com/en/paris-2024/results/boxing/men-s-63-5kg/fnl-000100--;CUB;Cuba
Gold Medal;1;08/09/2024;Lazizbek MULLOJONOV;M;Boxing;BOX;Men's 92kg;https://olympics.com/en/paris-2024/results/boxing/men-s-92kg/fnl-000100--;UZB;Uzbekistan
Gold Medal;1;08/10/2024;Razambek Salambekovitch JAMALOV;M;Wrestling;WRE;Men's Freestyle 74kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-74kg/fnl-000100--;UZB;Uzbekistan
Bronze Medal;3;08/07/2024;Aleksandra KALUCKA;W;Sport Climbing;CLB;Women's Speed;https://olympics.com/en/paris-2024/results/sport-climbing/women-s-speed/------------;POL;Poland
Gold Medal;1;08/07/2024;Aleksandra MIROSLAW;W;Sport Climbing;CLB;Women's Speed;https://olympics.com/en/paris-2024/results/sport-climbing/women-s-speed/------------;POL;Poland
Silver Medal;2;08/04/2024;Truls MOREGARD;M;Table Tennis;TTE;Men's Singles;https://olympics.com/en/paris-2024/results/table-tennis/men-s-singles/fnl-000100--;SWE;Sweden
Bronze Medal;3;08/01/2024;Muzaffarbek TUROBOYEV;M;Judo;JUD;Men -100 kg;https://olympics.com/en/paris-2024/results/judo/men--100-kg/repf000200--;UZB;Uzbekistan
Bronze Medal;3;08/07/2024;Akzhol MAKHMUDOV;M;Wrestling;WRE;Men's Greco-Roman 77kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-77kg/repf000200--;KGZ;Kyrgyzstan
Gold Medal;1;28/07/2024;Diyora KELDIYOROVA;W;Judo;JUD;Women -52 kg;https://olympics.com/en/paris-2024/results/judo/women--52-kg/fnl-000100--;UZB;Uzbekistan
Gold Medal;1;08/05/2024;Kauli VAAST;M;Surfing;SRF;Men;https://olympics.com/en/paris-2024/results/surfing/men/fnl---------;FRA;France
Silver Medal;2;08/06/2024;Meerim ZHUMANAZAROVA;W;Wrestling;WRE;Women's Freestyle 68kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-68kg/fnl-000100--;KGZ;Kyrgyzstan
Gold Medal;1;08/05/2024;Armand DUPLANTIS;M;Athletics;ATH;Men's Pole Vault;https://olympics.com/en/paris-2024/results/athletics/men-s-pole-vault/fnl-000100--;SWE;Sweden
Silver Medal;2;08/07/2024;Yusneylis GUZMAN LOPEZ;W;Wrestling;WRE;Women's Freestyle 50kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-50kg/fnl-000100--;CUB;Cuba
Bronze Medal;3;08/11/2024;Milaimy de la Carid. MARIN POTRILLE;W;Wrestling;WRE;Women's Freestyle 76kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-76kg/repf000100--;CUB;Cuba
Bronze Medal;3;08/09/2024;Natalia KACZMAREK;W;Athletics;ATH;Women's 400m;https://olympics.com/en/paris-2024/results/athletics/women-s-400m/fnl-000100--;POL;Poland
Bronze Medal;3;08/03/2024;Lindon VICTOR;M;Athletics;ATH;Men's Decathlon;https://olympics.com/en/paris-2024/results/athletics/men-s-decathlon/1500--------;GRN;Grenada
Bronze Medal;3;08/05/2024;TANG Chia-Hung;M;Artistic Gymnastics;GAR;Men's Horizontal Bar;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--;TPE;Chinese Taipei
Gold Medal;1;08/10/2024;Josef DOSTAL;M;Canoe Sprint;CSP;Men's Kayak Single 1000m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------;CZE;Czechia
Bronze Medal;3;08/03/2024;WU Shih Yi;W;Boxing;BOX;Women's 60kg;https://olympics.com/en/paris-2024/results/boxing/women-s-60kg/sfnl000100--;TPE;Chinese Taipei
Gold Medal;1;08/05/2024;Viktor AXELSEN;M;Badminton;BDM;Men's Singles;https://olympics.com/en/paris-2024/results/badminton/men-s-singles/fnl-000100--;DEN;Denmark
Bronze Medal;3;28/07/2024;Amandine BUCHARD;W;Judo;JUD;Women -52 kg;https://olympics.com/en/paris-2024/results/judo/women--52-kg/repf000200--;FRA;France
Bronze Medal;3;29/07/2024;Sarah Leonie CYSIQUE;W;Judo;JUD;Women -57 kg;https://olympics.com/en/paris-2024/results/judo/women--57-kg/repf000200--;FRA;France
Silver Medal;2;08/02/2024;Raz HERSHKO;W;Judo;JUD;Women +78 kg;https://olympics.com/en/paris-2024/results/judo/women--plus-78-kg/fnl-000100--;ISR;Israel
Gold Medal;1;08/10/2024;Althea LAURIN;W;Taekwondo;TKW;Women +67kg;https://olympics.com/en/paris-2024/results/taekwondo/women--plus-67kg/fnl-000100--;FRA;France
Gold Medal;1;28/07/2024;OH Ye Jin;W;Shooting;SHO;10m Air Pistol Women;https://olympics.com/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--;KOR;Korea
Gold Medal;1;08/08/2024;Benjamin THOMAS;M;Cycling Track;CTR;Men's Omnium;https://olympics.com/en/paris-2024/results/cycling-track/men-s-omnium/pts-000100--;FRA;France
Gold Medal;1;27/07/2024;TSUNODA Natsumi;W;Judo;JUD;Women -48 kg;https://olympics.com/en/paris-2024/results/judo/women--48-kg/fnl-000100--;JPN;Japan
Bronze Medal;3;27/07/2024;NAGAYAMA Ryuju;M;Judo;JUD;Men -60 kg;https://olympics.com/en/paris-2024/results/judo/men--60-kg/repf000100--;JPN;Japan
Bronze Medal;3;08/07/2024;Surodchana KHAMBAO;W;Weightlifting;WLF;Women's 49kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s-49kg/fnl-000100--;THA;Thailand
Gold Medal;1;31/07/2024;Barbara MATIC;W;Judo;JUD;Women -70 kg;https://olympics.com/en/paris-2024/results/judo/women--70-kg/fnl-000100--;CRO;Croatia
Gold Medal;1;08/09/2024;CHEN Yiwen;W;Diving;DIV;Women's 3m Springboard;https://olympics.com/en/paris-2024/results/diving/women-s-3m-springboard/fnl-000100--;CHN;China
Bronze Medal;3;08/09/2024;CHANG Yani;W;Diving;DIV;Women's 3m Springboard;https://olympics.com/en/paris-2024/results/diving/women-s-3m-springboard/fnl-000100--;CHN;China
Bronze Medal;3;08/04/2024;LEE Wooseok;M;Archery;ARC;Men's Individual;https://olympics.com/en/paris-2024/results/archery/men-s-individual/fnl-000200--;KOR;Korea
Gold Medal;1;08/03/2024;CHEN Meng;W;Table Tennis;TTE;Women's Singles;https://olympics.com/en/paris-2024/results/table-tennis/women-s-singles/fnl-000100--;CHN;China
Gold Medal;1;08/09/2024;THIAM Nafissatou;W;Athletics;ATH;Women's Heptathlon;;BEL;Belgium
Bronze Medal;3;08/04/2024;Lotte KOPECKY;W;Cycling Road;CRD;Women's Road Race;https://olympics.com/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--;BEL;Belgium
Bronze Medal;3;08/09/2024;Sarah CHAARI;W;Taekwondo;TKW;Women -67kg;https://olympics.com/en/paris-2024/results/taekwondo/women--67kg/repf000200--;BEL;Belgium
Gold Medal;1;08/08/2024;KIM Yujin;W;Taekwondo;TKW;Women -57kg;https://olympics.com/en/paris-2024/results/taekwondo/women--57kg/fnl-000100--;KOR;Korea
Gold Medal;1;08/09/2024;Jordan Alejandro DIAZ FORTUN;M;Athletics;ATH;Men's Triple Jump;https://olympics.com/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--;ESP;Spain
Silver Medal;2;08/01/2024;Maria PEREZ;W;Athletics;ATH;Women's 20km Race Walk;https://olympics.com/en/paris-2024/results/athletics/women-s-20km-race-walk/fnl-000100--;ESP;Spain
Gold Medal;1;31/07/2024;Leon MARCHAND;M;Swimming;SWM;Men's 200m Butterfly;https://olympics.com/en/paris-2024/results/swimming/men-s-200m-butterfly/fnl-000100--;FRA;France
Bronze Medal;3;08/11/2024;Emma FINUCANE;W;Cycling Track;CTR;Women's Sprint;https://olympics.com/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------;GBR;Great Britain
Silver Medal;2;27/07/2024;Anna HENDERSON;W;Cycling Road;CRD;Women's Individual Time Trial;https://olympics.com/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--;GBR;Great Britain
Bronze Medal;3;08/10/2024;LIN Xiyu Janet;W;Golf;GLF;Women's Individual Stroke Play;https://olympics.com/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------;CHN;China
Gold Medal;1;29/07/2024;SHENG Lihao;M;Shooting;SHO;10m Air Rifle Men;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--;CHN;China
Silver Medal;2;29/07/2024;HUANG Yuting;W;Shooting;SHO;10m Air Rifle Women;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--;CHN;China
Bronze Medal;3;08/09/2024;Edi HRNIC;M;Taekwondo;TKW;Men -80kg;https://olympics.com/en/paris-2024/results/taekwondo/men--80kg/repf000200--;DEN;Denmark
Silver Medal;2;08/04/2024;Artur DAVTYAN;M;Artistic Gymnastics;GAR;Men's Vault;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-vault/fnl-000001--;ARM;Armenia
Gold Medal;1;31/07/2024;Jose TORRES GIL;M;Cycling BMX Freestyle;BMF;Men's Park;https://olympics.com/en/paris-2024/results/cycling-bmx-freestyle/men-s-park/fnl-000100--;ARG;Argentina
Bronze Medal;3;31/07/2024;XIAO Ruoteng;M;Artistic Gymnastics;GAR;Men's All-Around;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-all-around/fnl-000001--;CHN;China
Bronze Medal;3;08/06/2024;ZHAO Jie;W;Athletics;ATH;Women's Hammer Throw;https://olympics.com/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--;CHN;China
Gold Medal;1;31/07/2024;DENG Yawen;W;Cycling BMX Freestyle;BMF;Women's Park;https://olympics.com/en/paris-2024/results/cycling-bmx-freestyle/women-s-park/fnl-000100--;CHN;China
Bronze Medal;3;08/05/2024;Sandra ELKASEVIC;W;Athletics;ATH;Women's Discus Throw;https://olympics.com/en/paris-2024/results/athletics/women-s-discus-throw/fnl-000100--;CRO;Croatia
Silver Medal;2;08/04/2024;Tommy FLEETWOOD;M;Golf;GLF;Men's Individual Stroke Play;https://olympics.com/en/paris-2024/results/golf/men-s-individual-stroke-play/fnl---------;GBR;Great Britain
Gold Medal;1;08/05/2024;Keely HODGKINSON;W;Athletics;ATH;Women's 800m;https://olympics.com/en/paris-2024/results/athletics/women-s-800m/fnl-000100--;GBR;Great Britain
Silver Medal;2;08/06/2024;Josh KERR;M;Athletics;ATH;Men's 1500m;https://olympics.com/en/paris-2024/results/athletics/men-s-1500m/fnl-000100--;GBR;Great Britain
Bronze Medal;3;31/07/2024;HAUGHEY Siobhan Bernadette;W;Swimming;SWM;Women's 100m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-100m-freestyle/fnl-000100--;HKG;Hong Kong, China
Silver Medal;2;08/05/2024;Kunlavut VITIDSARN;M;Badminton;BDM;Men's Singles;https://olympics.com/en/paris-2024/results/badminton/men-s-singles/fnl-000100--;THA;Thailand
Gold Medal;1;08/10/2024;LI Qian;W;Boxing;BOX;Women's 75kg;https://olympics.com/en/paris-2024/results/boxing/women-s-75kg/fnl-000100--;CHN;China
Bronze Medal;3;08/09/2024;Simone ALESSIO;M;Taekwondo;TKW;Men -80kg;https://olympics.com/en/paris-2024/results/taekwondo/men--80kg/repf000100--;ITA;Italy
Bronze Medal;3;08/02/2024;Iga SWIATEK;W;Tennis;TEN;Women's Singles;https://olympics.com/en/paris-2024/results/tennis/women-s-singles/fnl-000200--;POL;Poland
Gold Medal;1;08/10/2024;Ahmed ELGENDY;M;Modern Pentathlon;MPN;Men's Individual;https://olympics.com/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--;EGY;Egypt
Silver Medal;2;08/10/2024;Ayoub GHADFA DRISSI EL AISSAOUI;M;Boxing;BOX;Men's +92kg;https://olympics.com/en/paris-2024/results/boxing/men-s--plus-92kg/fnl-000100--;ESP;Spain
Bronze Medal;3;28/07/2024;Gusman KYRGYZBAYEV;M;Judo;JUD;Men -66 kg;https://olympics.com/en/paris-2024/results/judo/men--66-kg/repf000100--;KAZ;Kazakhstan
Bronze Medal;3;30/07/2024;Katharine BERKOFF;W;Swimming;SWM;Women's 100m Backstroke;https://olympics.com/en/paris-2024/results/swimming/women-s-100m-backstroke/fnl-000100--;USA;United States
Silver Medal;2;29/07/2024;Katie GRIMES;W;Swimming;SWM;Women's 400m Individual Medley;https://olympics.com/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--;USA;United States
Bronze Medal;3;08/03/2024;Paige MADDEN;W;Swimming;SWM;Women's 800m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-800m-freestyle/fnl-000100--;USA;United States
Bronze Medal;3;29/07/2024;Emma WEYANT;W;Swimming;SWM;Women's 400m Individual Medley;https://olympics.com/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--;USA;United States
Gold Medal;1;08/08/2024;Letsile TEBOGO;M;Athletics;ATH;Men's 200m;https://olympics.com/en/paris-2024/results/athletics/men-s-200m/fnl-000100--;BOT;Botswana
Gold Medal;1;08/10/2024;Lydia KO;W;Golf;GLF;Women's Individual Stroke Play;https://olympics.com/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------;NZL;New Zealand
Gold Medal;1;08/09/2024;SAKURAI Tsugumi;W;Wrestling;WRE;Women's Freestyle 57kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-57kg/fnl-000100--;JPN;Japan
